Stock Name,close,date,high,low,month,open,volume,source_file,Stock,Sector,Daily_Return,Volatility (%)
ADANIENT,2387.25,,2424.9,2372.0,2023-10,2418.0,2019899,2023-10-03_05-30-00.yaml,extracted_stock_data,,,
ADANIENT,2387.25,,2424.9,2372.0,2023-10,2418.0,2019899,2023-10-03_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,
ADANIENT,2464.95,,2502.75,2392.25,2023-10,2402.2,2857377,2023-10-04_05-30-00.yaml,extracted_stock_data,,0.0325479107759973,
ADANIENT,2464.95,,2502.75,2392.25,2023-10,2402.2,2857377,2023-10-04_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,
ADANIENT,2466.35,,2486.5,2446.4,2023-10,2477.95,1132455,2023-10-05_05-30-00.yaml,extracted_stock_data,,0.0005679628390029,
ADANIENT,2466.35,,2486.5,2446.4,2023-10,2477.95,1132455,2023-10-05_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,
ADANIENT,2478.1,,2514.95,2466.05,2023-10,2466.35,1510035,2023-10-06_05-30-00.yaml,extracted_stock_data,,0.0047641251241712,
ADANIENT,2478.1,,2514.95,2466.05,2023-10,2466.35,1510035,2023-10-06_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,
ADANIENT,2442.6,,2459.7,2411.3,2023-10,2440.0,1408224,2023-10-09_05-30-00.yaml,extracted_stock_data,,-0.0143254913038214,
ADANIENT,2442.6,,2459.7,2411.3,2023-10,2440.0,1408224,2023-10-09_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,
ADANIENT,2498.3,,2517.95,2443.0,2023-10,2443.0,1771910,2023-10-10_05-30-00.yaml,extracted_stock_data,,0.0228035699664292,
ADANIENT,2498.3,,2517.95,2443.0,2023-10,2443.0,1771910,2023-10-10_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,
ADANIENT,2488.6,,2538.0,2482.5,2023-10,2533.9,1627836,2023-10-11_05-30-00.yaml,extracted_stock_data,,-0.0038826401953329,
ADANIENT,2488.6,,2538.0,2482.5,2023-10,2533.9,1627836,2023-10-11_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,
ADANIENT,2506.35,,2521.75,2490.65,2023-10,2499.9,1804818,2023-10-12_05-30-00.yaml,extracted_stock_data,,0.0071325243108575,
ADANIENT,2506.35,,2521.75,2490.65,2023-10,2499.9,1804818,2023-10-12_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,
ADANIENT,2454.55,,2495.0,2422.35,2023-10,2488.9,2278682,2023-10-13_05-30-00.yaml,extracted_stock_data,,-0.0206675045384722,
ADANIENT,2454.55,,2495.0,2422.35,2023-10,2488.9,2278682,2023-10-13_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,
ADANIENT,2429.35,,2464.7,2421.85,2023-10,2454.55,803856,2023-10-16_05-30-00.yaml,extracted_stock_data,,-0.0102666476543562,
ADANIENT,2429.35,,2464.7,2421.85,2023-10,2454.55,803856,2023-10-16_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,
ADANIENT,2428.4,,2462.0,2423.5,2023-10,2459.95,707543,2023-10-17_05-30-00.yaml,extracted_stock_data,,-0.0003910511042047,
ADANIENT,2428.4,,2462.0,2423.5,2023-10,2459.95,707543,2023-10-17_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,
ADANIENT,2406.35,,2441.75,2401.05,2023-10,2440.0,776977,2023-10-18_05-30-00.yaml,extracted_stock_data,,-0.0090800527096031,
ADANIENT,2406.35,,2441.75,2401.05,2023-10,2440.0,776977,2023-10-18_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,
ADANIENT,2402.2,,2414.7,2382.55,2023-10,2400.0,1168822,2023-10-19_05-30-00.yaml,extracted_stock_data,,-0.0017246036528352,
ADANIENT,2402.2,,2414.7,2382.55,2023-10,2400.0,1168822,2023-10-19_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,
ADANIENT,2393.75,,2443.95,2382.05,2023-10,2398.05,1240350,2023-10-20_05-30-00.yaml,extracted_stock_data,,-0.0035176088585462,
ADANIENT,2393.75,,2443.95,2382.05,2023-10,2398.05,1240350,2023-10-20_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,
ADANIENT,2308.65,,2412.35,2301.8,2023-10,2397.8,1483549,2023-10-23_05-30-00.yaml,extracted_stock_data,,-0.03555091383812,
ADANIENT,2308.65,,2412.35,2301.8,2023-10,2397.8,1483549,2023-10-23_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,2.1006863547292904
ADANIENT,2257.0,,2348.05,2235.3,2023-10,2320.0,1540819,2023-10-25_05-30-00.yaml,extracted_stock_data,,-0.0223723821280835,2.477920667458596
ADANIENT,2257.0,,2348.05,2235.3,2023-10,2320.0,1540819,2023-10-25_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,2.7952634302163197
ADANIENT,2203.2,,2249.0,2167.05,2023-10,2249.0,2226073,2023-10-26_05-30-00.yaml,extracted_stock_data,,-0.0238369517058042,3.262321227602605
ADANIENT,2203.2,,2249.0,2167.05,2023-10,2249.0,2226073,2023-10-26_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,3.6389336234910217
ADANIENT,2261.7,,2275.0,2212.0,2023-10,2222.0,1244293,2023-10-27_05-30-00.yaml,extracted_stock_data,,0.0265522875816992,3.791949605223467
ADANIENT,2261.7,,2275.0,2212.0,2023-10,2222.0,1244293,2023-10-27_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,3.919328948053876
ADANIENT,2299.1,,2305.0,2250.0,2023-10,2260.05,996448,2023-10-30_05-30-00.yaml,extracted_stock_data,,0.0165362338064287,3.9447088624705264
ADANIENT,2299.1,,2305.0,2250.0,2023-10,2260.05,996448,2023-10-30_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,3.9538170998310473
ADANIENT,2294.65,,2320.0,2276.0,2023-10,2320.0,1155280,2023-10-31_05-30-00.yaml,extracted_stock_data,,-0.0019355399939106,3.99425810173908
ADANIENT,2294.65,,2320.0,2276.0,2023-10,2320.0,1155280,2023-10-31_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,4.0235418443350754
ADANIENT,2217.3,,2312.25,2207.0,2023-11,2299.0,1666579,2023-11-01_05-30-00.yaml,extracted_stock_data,,-0.0337088444860871,4.0947630402104975
ADANIENT,2217.3,,2312.25,2207.0,2023-11,2299.0,1666579,2023-11-01_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,4.126398659690322
ADANIENT,2215.3,,2297.95,2204.2,2023-11,2247.0,2340997,2023-11-02_05-30-00.yaml,extracted_stock_data,,-0.0009019979254047,4.1433948617303535
ADANIENT,2215.3,,2297.95,2204.2,2023-11,2247.0,2340997,2023-11-02_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,4.122616934795848
ADANIENT,2229.85,,2279.0,2215.0,2023-11,2215.3,1853300,2023-11-03_05-30-00.yaml,extracted_stock_data,,0.0065679591928857,3.991149783267121
ADANIENT,2229.85,,2279.0,2215.0,2023-11,2215.3,1853300,2023-11-03_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,3.810322373796071
ADANIENT,2246.0,,2260.0,2233.0,2023-11,2253.95,770061,2023-11-06_05-30-00.yaml,extracted_stock_data,,0.0072426396394376,3.7015036694501338
ADANIENT,2246.0,,2260.0,2233.0,2023-11,2253.95,770061,2023-11-06_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,3.5616813787361874
ADANIENT,2233.35,,2260.0,2226.65,2023-11,2257.0,641554,2023-11-07_05-30-00.yaml,extracted_stock_data,,-0.0056322350845948,3.468584916824794
ADANIENT,2233.35,,2260.0,2226.65,2023-11,2257.0,641554,2023-11-07_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,3.3467845908680323
ADANIENT,2259.95,,2298.0,2235.0,2023-11,2245.3,1169180,2023-11-08_05-30-00.yaml,extracted_stock_data,,0.0119103588779188,3.17178251926226
ADANIENT,2259.95,,2298.0,2235.0,2023-11,2245.3,1169180,2023-11-08_05-30-00.yaml,extracted_stock_data_with_sector,Conglomerate,0.0,2.96357710217268
ADANIENT,2214.65,,2272.6,2210.1,2023-11,2269.0,1267890,2023-11-09_05-30-00.yaml,extracted_stock_data,,-0.0200446912542311,2.831980098975911
